,Game Result,Game Mode,Time Length,MMR or Elo,Skill Rank,Relic 1,Relic 2,KDA,Ranked,Level,Total_Gold,Class,God,Gold Per Minute,Damage Dealt,In Hand Damage Dealt,Damage Taken,Damage Mitigated,Team Healing,Self Healing,Structure Damage,Wards,Distance Traveled,Kills,Deaths,Assists
0,1,Conquest,29,9,49 ,Beads,Blink,"
21 
",0,20,"16543
",Mage,Baron Samedi,570,1320.0689655172414,100.10344827586206,978.5172413793103,359.6896551724138,5609,512.8620689655172,44.10344827586207,0.20689655172413793,22303.310344827587,0.3793103448275862,0.034482758620689655,0.6896551724137931
1,0,Conquest,23,-14,-99 ,Beads,Blink,"
1.88 
",0,20,"13419
",Assassin,Bakasura,583,798.695652173913,517.9565217391304,956.9565217391304,440.3478260869565,0,449.8695652173913,0.0,0.17391304347826086,23195.869565217392,0.30434782608695654,0.17391304347826086,0.043478260869565216
2,1,Conquest,40,11,123 ,Beads,Blink,"
1.77 
",0,20,"25204
",Assassin,Mercury,630,743.8,472.175,993.175,516.125,0,317.575,34.975,0.15,21538.175,0.3,0.275,0.375
3,0,Conquest,28,-16,-34 ,Beads,Blink,"
4.33 
",1,20,"15053
",Warrior,Hercules,538,1137.4642857142858,303.5,887.3571428571429,780.7857142857143,0,470.39285714285717,0.0,0.14285714285714285,20550.64285714286,0.32142857142857145,0.10714285714285714,0.2857142857142857
4,0,Conquest,26,-17,-39 ,Thorns,Blink,"
5.25 
",1,20,"14028
",Guardian,Kuzenbo,540,713.2692307692307,144.30769230769232,693.0769230769231,883.2692307692307,0,52.53846153846154,1.8461538461538463,0.23076923076923078,20318.80769230769,0.34615384615384615,0.07692307692307693,0.11538461538461539
5,1,Conquest,16,13,35 ,Beads,Blink,"
3 
",1,16,"9375
",Assassin,Camazotz,586,628.1875,132.5625,815.875,397.375,0,480.1875,6.6875,0.0625,21035.375,0.3125,0.1875,0.5
6,0,Conquest,30,-18,-32 ,Aegis,Beads,"
1.3 
",1,20,"15937
",Hunter,Chernobog,531,1051.1666666666667,694.7333333333333,903.6,431.56666666666666,0,67.66666666666667,85.86666666666666,0.16666666666666666,17639.3,0.3,0.3333333333333333,0.26666666666666666
7,1,Conquest,35,7,156 ,Aegis,Beads,"
2 
",0,20,"22214
",Hunter,Artemis,635,1337.6285714285714,719.4,1107.857142857143,467.62857142857143,0,497.42857142857144,107.57142857142857,0.14285714285714285,15620.0,0.42857142857142855,0.2571428571428571,0.17142857142857143
8,0,Conquest,28,-14,-46 ,Aegis,Beads,"
1.81 
",0,20,"15801
",Assassin,Fenrir,564,737.3214285714286,336.17857142857144,1187.3214285714287,451.42857142857144,0,388.5,56.82142857142857,0.21428571428571427,19429.0,0.42857142857142855,0.2857142857142857,0.17857142857142858
9,1,Conquest,34,9,37 ,Beads,Blink,"
4.1 
",0,20,"22380
",Hunter,Neith,658,1123.735294117647,555.9117647058823,842.2058823529412,411.94117647058823,0,373.44117647058823,144.47058823529412,0.2647058823529412,17263.117647058825,0.5294117647058824,0.14705882352941177,0.14705882352941177
10,0,Conquest,21,-17,-18 ,Aegis,Beads,"
2.75 
",1,18,"11800
",Hunter,Ullr,562,944.1428571428571,506.7142857142857,768.4285714285714,282.4761904761905,0,140.9047619047619,26.0,0.23809523809523808,18291.714285714286,0.38095238095238093,0.19047619047619047,0.2857142857142857
