,Game Result,Game Mode,Time Length,MMR or Elo,Skill Rank,Relic 1,Relic 2,Kill #,Death #,Assist #,KDA,God Name,Level and Total Gold
0,victory,Normal: Conquest - 4 days ago,29m,"+9
",+49 SR,Purification Beads,Blink Rune,11, 1, 20,"
21 KDA
",Baron Samedi,"
Level 20 / 16,543G
"
1,defeat,Normal: Conquest - 4 days ago,23m,-14,-99 SR,Purification Beads,Blink Rune,7, 4, 1,"
1.88 KDA
",Bakasura,"
Level 20 / 13,419G
"
2,victory,Normal: Conquest - 4 days ago,40m,+11,+123 SR,Purification Beads Upgrade,Blink Rune Upgrade,12, 11, 15,"
1.77 KDA
",Mercury,"
Level 20 / 25,204G
"
3,defeat,Ranked: Conquest - 4 days ago,28m,-16,-34 SR,Purification Beads,Blink Rune,9, 3, 8,"
4.33 KDA
",Hercules,"
Level 20 / 15,053G
"
4,defeat,Ranked: Conquest - 4 days ago,26m,-17,-39 SR,Shield of Thorns Upgrade,Blink Rune,9, 2, 3,"
5.25 KDA
",Kuzenbo,"
Level 20 / 14,028G
"
5,victory,Ranked: Conquest - 4 days ago,16m,+13,+35 SR,Purification Beads,Blink Rune,5, 3, 8,"
3 KDA
",Camazotz,"
Level 16 / 9,375G
"
6,defeat,Ranked: Conquest - 4 days ago,30m,-18,-32 SR,Aegis Amulet,Purification Beads,9, 10, 8,"
1.3 KDA
",Chernobog,"
Level 20 / 15,937G
"
7,victory,Normal: Conquest - 4 days ago,35m,"+7
",+156 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,15, 9, 6,"
2 KDA
",Artemis,"
Level 20 / 22,214G
"
8,defeat,Normal: Conquest - 4 days ago,28m,-14,-46 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,12, 8, 5,"
1.81 KDA
",Fenrir,"
Level 20 / 15,801G
"
9,victory,Normal: Conquest - 4 days ago,34m,"+9
",+37 SR,Purification Beads Upgrade,Blink Rune Upgrade,18, 5, 5,"
4.1 KDA
",Neith,"
Level 20 / 22,380G
"
10,defeat,Ranked: Conquest - 4 days ago,21m,-17,-18 SR,Aegis Amulet,Purification Beads,8, 4, 6,"
2.75 KDA
",Ullr,"
Level 18 / 11,800G
"
11,defeat,Ranked: Conquest - 4 days ago,20m,-18,-30 SR,Aegis Amulet,Purification Beads,3, 6, 3,"
0.75 KDA
",Apollo,"
Level 17 / 10,510G
"
12,victory,Normal: Conquest - 5 days ago,10m,"+8
",+44 SR,Relic,Blink Rune,3, 3, 2,"
1.33 KDA
",Ares,"
Level 10 / 5,909G
"
13,defeat,Ranked: Conquest - 5 days ago,30m,-16,-15 SR,Purification Beads Upgrade,Blink Rune,14, 6, 8,"
3 KDA
",Ullr,"
Level 20 / 18,977G
"
14,victory,Ranked: Conquest - 5 days ago,25m,+20,+11 SR,Aegis Amulet,Purification Beads,10, 2, 13,"
8.25 KDA
",Isis,"
Level 20 / 15,867G
"
15,victory,Ranked: Conquest - 5 days ago,23m,+18,+6 SR,Aegis Amulet,Purification Beads,20, 2, 8,"
12 KDA
",Apollo,"
Level 20 / 15,929G
"
16,victory,Normal: Conquest - 5 days ago,25m,"+7
",+24 SR,Aegis Amulet,Purification Beads,19, 4, 2,"
5 KDA
",Zeus,"
Level 20 / 16,430G
"
17,victory,Ranked: Conquest - 5 days ago,19m,+18,+43 SR,Magic Shell Upgrade,Heavenly Wings Upgrade,7, 2, 12,"
6.5 KDA
",Ne Zha,"
Level 18 / 12,541G
"
18,defeat,Normal: Conquest - 5 days ago,31m,-16,-94 SR,Purification Beads,Blink Rune,5, 7, 8,"
1.29 KDA
",Chang'e,"
Level 20 / 15,081G
"
19,victory,Normal: Conquest - 5 days ago,27m,"+8
",+39 SR,Bracer of Undoing Upgrade,Blink Rune,5, 2, 13,"
5.75 KDA
",Ares,"
Level 20 / 14,651G
"
20,victory,Normal: Conquest - 5 days ago,31m,+10,+29 SR,Aegis Amulet,Purification Beads,21, 3, 7,"
8.17 KDA
",Poseidon,"
Level 20 / 22,907G
"
21,defeat,Normal: Conquest - 5 days ago,30m,-15,-25 SR,Aegis Amulet,Purification Beads,4, 6, 9,"
1.42 KDA
",Vulcan,"
Level 20 / 15,444G
"
22,victory,Normal: Conquest - 5 days ago,24m,"+6
",+21 SR,Shield of Thorns Upgrade,Blink Rune,13, 0, 7,"
16.5 KDA
",Nike,"
Level 20 / 16,136G
"
23,defeat,Ranked: Conquest - 5 days ago,21m,-16,-11 SR,Aegis Amulet,Purification Beads,1, 5, 2,"
0.4 KDA
",Anhur,"
Level 16 / 9,519G
"
